计费项,说明,地域
"节点规格","SQL Server 主实例和只读实例节点规格的费用。计费方式为包年包月或按量计费。",-
"存储空间","SQL Server 实例存储空间的费用。计费方式为包年包月或按量计费。",-
,
,
,
类型,规格类型,节点规格,按量计费（元/小时）,包月,包1年,包2年,包3年,地域
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","4.25","2040","24480","48960","73440","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","2.5","1200","14400","28800","43200","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","2.5","1200","14400","28800","43200","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","6.75","3240","38880","77760","116640","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.large.s1","4.5","2160","25920","51840","77760","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","5","2400","28800","57600","86400","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","8.5","4080","48960","97920","146880","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","5","2400","28800","57600","86400","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","5","2400","28800","57600","86400","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","13.5","6480","77760","155520","233280","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.xlarge.s1","9","4320","51840","103680","155520","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","10","4800","57600","115200","172800","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","17","8160","97920","195840","293760","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","10","4800","57600","115200","172800","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","10","4800","57600","115200","172800","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","27","12960","155520","311040","466560","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s2.2xlarge.s1","18","8640","103680","207360","311040","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","2.08","1000","12000","24000","36000","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","3.54","1700","20400","40800","61200","中国香港"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","2.08","1000","12000","24000","36000","华南1（广州）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","2.08","1000","12000","24000","36000","华北2（北京）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","5.63","2700","32400","64800","97200","亚太东南（雅加达）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.medium.s1","3.75","1800","21600","43200","64800","亚太东南（柔佛）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","4.17","2000","24000","48000","72000","华东2（上海）"
" 标准版-基础版","通用Ⅱ型","rds.mssql.3il.s4.large.s1","7.08","3400","40800","81600","122400","中国香港"
